query_id	type	target	e_c-bm25-top_5	e_c-bm25-top_10	e_c-bm25-top_20	e_c-bm25-top_50	e_c-bm25-top_100	e_c-lmDir-top_5	e_c-lmDir-top_10	e_c-lmDir-top_20	e_c-lmDir-top_50	e_c-lmDir-top_100	t_c-bm25	t_c-lmDir	propor_depth	type_children	type_siblings	covered_entities	type_length	sum_idf	avg_idf	surface_sim_1_shingle	surface_sim_2_shinglesnouns_sim	w2v_aggr_cos_sim	w2v_max_cos_sim	w2v_avg_cos_sim
INEX_LD-2009022	<dbo:Agent>	0	0	0	0	0	0	0	0	0	0	0	6.0463414	3.4098341725308246e-22	0.14	5	49	1855262	1	6.632	6.632	0.0	-	-0.0033976758110993467	0.022307469233142162	-0.005525291693487727
INEX_LD-2009022	<dbo:AnatomicalStructure>	0	0	0	0	0	0	0	0	0	0	0	0	0	0.14	10	49	4403	2	12.1654	6.0827	0.0	-	0.04754702887693615	0.0898917381447659	0.027764109853823278
INEX_LD-2009022	<dbo:Animal>	0	0	0	0	0	0	0	0	0	0	0	6.3182535	7.114001066059721e-22	0.43	9	3	220773	1	6.632	6.632	0.0	-	0.1054131441939072	0.2120247142910868	0.08630429543431468
INEX_LD-2009022	<dbo:ArchitecturalStructure>	0	0	0	0	0	0	0	0	0	0	0	5.9271936	3.276619017823833e-25	0.29	14	16	183179	2	12.1654	6.0827	0.0	-	0.07509009736029222	0.1501745936191107	0.039580376349648456
INEX_LD-2009022	<dbo:Broadcaster>	0	0	0	0	0	0	0	0	0	0	0	8.065114	4.9600229522464996e-23	0.43	3	21	28587	1	6.632	6.632	0.0	-	0.07886272411749419	0.10671414044580994	0.05570748802091842
INEX_LD-2009022	<dbo:Building>	0	0	0	0	0	0	0	0	0	0	0	7.0740447	5.4162775360045485e-24	0.43	12	14	76119	1	5.5334	5.5334	0.0	-	-0.014073827648959751	0.015352320687616777	-0.010465597499282723
INEX_LD-2009022	<dbo:Cheese>	0	0	0	0	0	0	0	0	0	0	0	8.659147	3.503383696654867e-18	0.29	0	2	324	1	6.632	6.632	0.0	-	0.35343070471428517	0.30461856180018354	0.2666835354327983
INEX_LD-2009022	<dbo:Chef>	0	0	0	0	0	0	0	0	0	0	0	14.423773	3.965835418939475e-13	0.43	0	50	551	1	6.632	6.632	0.0	-	0.5531144861947724	0.5736073753367594	0.407698438511257
INEX_LD-2009022	<dbo:City>	0	0	0	0	0	0	0	0	0	0	0	5.5751023	4.756675019190006e-25	0.57	2	5	20943	1	6.632	6.632	0.0	-	0.022219294855700594	0.05816421971321741	0.01915230898574617
INEX_LD-2009022	<dbo:Company>	0	0	0	0	0	0	0	0	0	0	0	8.405814	1.2290446037187317e-22	0.43	9	21	65754	1	5.9389	5.9389	0.0	-	0.056310537194744	0.0604305043713388	0.041067949235923044
INEX_LD-2009022	<dbo:CultivatedVariety>	0	0	0	0	0	0	0	0	0	0	0	8.280045	2.2054833293087156e-20	0.57	0	10	1674	2	13.264	6.632	0.0	-	0.21851871223439231	0.22494213611271188	0.12149886843002473
INEX_LD-2009022	<dbo:EthnicGroup>	0	0	0	0	0	0	0	0	0	0	0	6.154826	8.579210844171021e-24	0.14	0	49	5142	2	12.1654	6.0827	0.0	-	0.19025772786465941	0.24435898416436053	0.09133562193212506
INEX_LD-2009022	<dbo:Eukaryote>	0	0	0	0	0	0	0	0	0	0	0	7.4938574	3.1154183219062296e-21	0.29	3	3	287560	1	6.632	6.632	0.0	-	0	0	0.0
INEX_LD-2009022	<dbo:Fish>	0	0	0	0	0	0	0	0	0	0	0	8.865658	5.132197066570774e-20	0.57	0	9	18376	1	6.632	6.632	0.0	-	0.13950480033782237	0.16195859309064464	0.10826376816605177
INEX_LD-2009022	<dbo:Food>	7	85.1664285	107.43877866666668	77.610747875	62.438873125000015	60.94583239583335	0	0	5.678935928583851e-12	1.9031291874339097e-12	7.751904242685171e-13	9.167933	1.1823267185577153e-16	0.14	2	49	5896	1	6.632	6.632	0.25	-	0.41417666323666696	0.6538905613715711	0.33097107764397554
INEX_LD-2009022	<dbo:Hotel>	0	0	0	0	0	0	0	0	0	0	0	7.81349	1.5313010055445746e-20	0.57	0	12	1237	1	6.632	6.632	0.0	-	0.19417090877116203	0.2288838570507895	0.14066623384325477
INEX_LD-2009022	<dbo:OfficeHolder>	0	0	0	0	0	0	0	0	0	0	0	0	0	0.43	0	50	60424	2	13.264	6.632	0.0	-	-0.003776101645071868	0.04504990668629961	-0.0028079667854303317
INEX_LD-2009022	<dbo:Organisation>	0	0	0	0	0	0	0	0	0	0	0	7.874323	1.1847022835724948e-23	0.29	21	5	267318	1	5.5334	5.5334	0.0	-	0.03438615068665614	0.07102743818952932	0.0261785744288009
INEX_LD-2009022	<dbo:Person>	0	0	0	0	0	0	0	0	0	0	0	5.372727	7.707570065849277e-26	0.29	50	5	1587944	1	5.5334	5.5334	0.0	-	0.09423703442720598	0.1425635113184235	0.07000937418470995
INEX_LD-2009022	<dbo:Place>	0	0	0	0	0	0	0	0	0	0	0	5.994994	1.264491262251675e-25	0.14	16	49	801334	1	5.2457	5.2457	0.0	-	0.18784351203740002	0.2564883245800243	0.13966980103639265
INEX_LD-2009022	<dbo:Plant>	0	0	0	0	0	0	0	0	0	0	0	7.3146734	5.3447026072611666e-24	0.43	10	3	55260	1	5.9389	5.9389	0.0	-	-0.0008059506559524558	0.08147537229393416	-0.0013061470335924315
INEX_LD-2009022	<dbo:PopulatedPlace>	0	0	0	0	0	0	0	0	0	0	0	3.6371543	6.404540120446366e-27	0.29	13	16	499185	2	11.8777	5.9389	0.0	-	0.22524811581511525	0.2564883245800243	0.11913666165622043
INEX_LD-2009022	<dbo:Restaurant>	0	0	0	0	0	0	0	0	0	0	0	8.997611	1.9900014355469925e-17	0.57	0	12	1121	1	6.632	6.632	0.0	-	0.5023660345185983	0.4915367757514133	0.37223047106834295
INEX_LD-2009022	<dbo:Settlement>	0	0	0	0	0	0	0	0	0	0	0	4.4747343	1.5188757195722714e-26	0.43	5	13	466677	1	6.632	6.632	0.0	-	0.03452358513536555	0.060039752499505654	0.025581398966398265
INEX_LD-2009022	<dbo:Species>	0	0	0	0	0	0	0	0	0	0	0	7.420412	2.890061645599832e-21	0.14	3	49	293468	1	6.632	6.632	0.0	-	0.11057116537378109	0.12462032485085218	0.08192989795803163
INEX_LD-2009022	<dbo:TelevisionShow>	0	0	0	0	0	0	0	0	0	0	0	8.340504	6.674966882286838e-23	0.29	0	15	35958	2	11.6546	5.8273	0.0	-	0.11561112235216023	0.12144958018581373	0.06507486243878
INEX_LD-2009022	<dbo:TelevisionStation>	0	0	0	0	0	0	0	0	0	0	0	8.578747	1.9915987081555915e-21	0.57	0	3	8115	2	9.8628	4.9314	0.0	-	0.09468277126922763	0.07116177699435776	0.05155264741651731
INEX_LD-2009022	<dbo:Work>	0	0	0	0	0	0	0	0	0	0	0	6.905319	6.729676346328022e-25	0.14	15	49	479356	1	5.2457	5.2457	0.0	-	0.00939031889195638	0.05646857270401584	0.009640537418446012
INEX_LD-2009039	<dbo:AdministrativeRegion>	0	0	0	0	0	0	0	0	0.0007204565062759302	0.00111140575991482	0.0016091168771828217	2.4188352	2.9222812287064395e-08	0.57	3	3	23972	2	11.1846	5.5923	0.0	-	0.03763269299898129	0.06425379477385475	0.023313479081959874
INEX_LD-2009039	<dbo:Agent>	0	0	0	0	0	0	0	0	0	0	0.0016091168771828217	3.0303004	2.9732954800701745e-08	0.14	5	49	1855262	1	6.632	6.632	0.0	-	-0.024326687330050202	-0.00683714238769555	-0.01812723060825356
INEX_LD-2009039	<dbo:Architect>	0	0	0	0	0	0	0	0	0	0	0	3.0736365	1.7279314701314756e-06	0.43	0	50	2518	1	6.632	6.632	0.0	-	0.3325052068585379	0.4825759087776836	0.26640075140177427
