INEX_LD-2009022	run0	<dbo:Food>	7
INEX_LD-2009039	run0	<dbo:HistoricPlace>	1
INEX_LD-2009039	run0	<dbo:ArchitecturalStructure>	6
INEX_LD-2009053	run0	<dbo:Company>	4
INEX_LD-2009053	run0	<dbo:Automobile>	3
INEX_LD-2009061	run0	<dbo:MilitaryConflict>	7
INEX_LD-2009062	run0	<dbo:Website>	3
INEX_LD-2009063	run0	<dbo:MilitaryConflict>	3
INEX_LD-2009063	run0	<dbo:TimePeriod>	1
INEX_LD-2009063	run0	<dbo:MilitaryUnit>	1
INEX_LD-2009074	run0	<dbo:Language>	4
INEX_LD-2009096	run0	<dbo:Engineer>	2
INEX_LD-2009096	run0	<dbo:ArchitecturalStructure>	5
INEX_LD-2009111	run0	<dbo:PowerStation>	6
INEX_LD-2009115	run0	<dbo:Museum>	5
INEX_LD-2010004	run0	<dbo:Food>	7
INEX_LD-2010014	run0	<dbo:MusicalArtist>	1
INEX_LD-2010014	run0	<dbo:Artwork>	1
INEX_LD-2010014	run0	<dbo:Museum>	5
INEX_LD-2010019	run0	<dbo:ArchitecturalStructure>	7
INEX_LD-2010020	run0	<dbo:PowerStation>	5
INEX_LD-2010020	run0	<dbo:PopulatedPlace>	1
INEX_LD-2010037	run0	<dbo:InformationAppliance>	1
INEX_LD-2010037	run0	<dbo:Software>	3
INEX_LD-2010037	run0	<dbo:Website>	3
INEX_LD-2010043	run0	<dbo:Film>	7
INEX_LD-2010057	run0	<dbo:WrittenWork>	6
INEX_LD-2010069	run0	<dbo:FloweringPlant>	7
INEX_LD-2010100	run0	<dbo:Artwork>	1
INEX_LD-2010100	run0	<dbo:ArchitecturalStructure>	5
INEX_LD-2010106	run0	<dbo:Food>	7
INEX_LD-20120111	run0	<dbo:Film>	7
INEX_LD-20120112	run0	<dbo:MilitaryConflict>	6
INEX_LD-20120112	run0	<dbo:Film>	1
INEX_LD-20120121	run0	<dbo:Food>	7
INEX_LD-20120122	run0	<dbo:WrittenWork>	3
INEX_LD-20120122	run0	<dbo:Website>	4
INEX_LD-20120131	run0	<dbo:ProtectedArea>	1
INEX_LD-20120131	run0	<dbo:Park>	4
INEX_LD-20120131	run0	<dbo:AmusementParkAttraction>	1
INEX_LD-20120131	run0	<dbo:NaturalPlace>	1
INEX_LD-20120132	run0	<dbo:Airline>	1
INEX_LD-20120132	run0	<dbo:Airport>	6
INEX_LD-20120211	run0	<dbo:MusicalWork>	2
INEX_LD-20120212	run0	<dbo:MusicalWork>	5
INEX_LD-20120212	run0	<dbo:Guitarist>	1
INEX_LD-20120221	run0	<dbo:MusicalWork>	1
INEX_LD-20120221	run0	<dbo:MusicGenre>	5
INEX_LD-20120221	run0	<dbo:Guitarist>	1
INEX_LD-20120222	run0	<dbo:MusicalWork>	3
INEX_LD-20120222	run0	<dbo:MusicGenre>	2
INEX_LD-20120232	run0	<dbo:MusicGenre>	3
INEX_LD-20120232	run0	<dbo:Guitarist>	1
INEX_LD-20120311	run0	<dbo:Film>	7
INEX_LD-20120312	run0	<dbo:PopulatedPlace>	5
INEX_LD-20120321	run0	<dbo:MusicalArtist>	7
INEX_LD-20120322	run0	<dbo:ClassicalMusicComposition>	4
INEX_LD-20120331	run0	<dbo:Genre>	4
INEX_LD-20120332	run0	<dbo:Genre>	4
